39,20,42,14,18,9,6
11,27,5,2,38,12,10
46,8,47,41,40,11,3
2,16,28,22,46,8,4
41,23,21,12,26,5,6
35,38,36,1,39,3,10
25,37,6,12,31,9,6
19,38,3,32,17,7,6
2,44,38,9,40,11,5
10,16,49,34,36,3,7
9,39,11,20,3,2,3
16,38,22,41,7,5,9
40,16,43,24,14,1,5
50,2,31,12,4,8,6
15,46,17,11,24,2,11
41,40,20,18,9,9,3
36,23,39,21,19,12,5
14,3,43,41,23,6,2
7,10,47,13,34,5,9
2,23,18,39,3,8,6
18,34,30,48,9,7,1
36,19,42,33,5,7,12
47,29,32,46,11,5,7
13,46,8,24,35,8,6
22,7,29,21,5,10,3
8,9,50,13,11,11,6
8,2,16,21,39,4,5
47,1,3,29,45,5,8
1,36,2,11,14,2,3
5,1,35,20,8,12,3
30,46,28,45,31,4,8
34,10,32,27,30,5,8
34,11,39,6,29,2,3
30,33,18,17,35,8,6
23,11,12,26,13,12,11
4,35,30,8,9,6,7
24,40,21,12,28,3,1
41,13,16,45,5,3,6
35,28,42,16,31,2,10
7,11,21,20,29,6,11
37,5,42,19,33,9,7
16,32,28,48,36,10,5
15,1,24,33,19,7,8
37,11,31,44,10,12,5
6,12,44,37,36,1,11
43,6,21,26,23,9,3
13,47,44,8,16,6,8
5,29,21,18,45,1,6
48,34,16,32,9,6,2
17,39,22,46,6,12,5
4,12,11,42,16,3,5
48,1,37,46,18,7,3
38,27,6,49,20,9,3
1,5,18,20,12,7,6
34,20,38,43,13,6,3
21,5,12,15,39,3,4
6,14,45,1,2,2,7
42,10,20,36,3,8,10
37,10,15,46,25,7,12
1,44,17,7,50,10,2
43,20,30,41,21,11,10
4,29,34,9,37,3,12
9,31,27,17,16,1,9
12,31,47,15,1,10,9
16,6,35,11,44,6,2
7,41,34,49,14,9,4
27,41,9,45,16,4,1
47,50,28,14,31,7,12
37,28,31,29,50,4,5
3,47,50,37,45,5,10
34,44,28,33,37,4,11
9,44,34,35,42,11,6
6,11,43,49,26,5,8
47,20,9,14,15,8,12
36,33,3,13,47,11,3
13,6,32,21,8,3,6
47,12,37,8,44,10,7
49,48,25,12,6,11,12
32,46,37,9,16,7,12
8,48,6,42,4,6,11
23,20,11,37,46,9,11
28,13,14,25,42,12,11
7,1,48,33,11,9,12
28,11,15,24,41,12,3
38,17,35,23,15,9,4
40,9,7,48,49,7,8
39,44,32,18,42,7,4
21,30,4,5,43,5,11
17,39,26,37,35,4,3
2,11,49,47,18,2,7
50,34,18,13,24,6,5
10,44,5,8,3,12,7
36,47,39,7,35,8,3
30,16,17,35,26,3,9
48,49,17,42,43,3,7
17,15,8,12,46,8,1
44,31,26,15,23,1,8
39,20,38,30,44,12,2
36,2,40,13,22,3,5
41,16,27,45,25,3,9
40,20,22,34,26,12,8
26,43,18,9,41,9,4
10,38,6,11,20,3,9
11,22,5,2,24,12,7
45,18,27,49,41,9,7
37,6,2,18,29,10,12
9,21,39,2,18,4,10
13,32,41,4,39,6,8
17,32,34,4,49,4,9
14,46,38,32,34,2,5
36,40,44,26,23,5,10
31,49,10,17,12,8,2
40,39,47,6,11,8,7
26,29,46,50,14,11,10
2,7,1,24,25,2,5
1,17,19,11,33,7,3
23,37,43,24,20,10,9
9,19,16,32,11,3,5
30,3,26,16,47,2,1
10,36,30,6,22,10,8
28,16,43,7,36,11,2
34,4,24,10,35,8,7
50,23,29,10,2,3,10
30,13,48,35,24,5,4
6,29,10,17,49,5,2
45,2,1,23,43,1,9
28,30,35,11,50,7,8
23,46,21,28,3,12,10
49,7,48,5,45,3,8
41,27,4,39,22,9,1
50,14,39,30,37,4,12
29,48,8,41,26,5,3
45,26,40,25,47,4,5
47,32,22,4,28,2,1
2,41,13,45,50,2,3
30,13,43,7,47,11,7
3,7,50,34,43,10,5
49,6,5,39,50,12,10
6,22,13,24,30,5,10
18,17,5,34,6,1,11
41,49,10,27,32,9,1
28,18,50,2,42,11,2
7,17,35,3,15,3,4
5,10,24,2,20,7,4
24,41,20,19,36,4,5
48,2,26,45,41,12,5
28,48,38,10,9,8,12
37,49,8,7,35,8,5
18,24,39,10,15,11,2
46,11,35,31,20,6,10
1,38,33,43,8,6,2
5,31,49,46,39,9,8
17,1,36,49,20,6,9
41,4,34,43,19,1,5
29,10,32,25,5,7,4
42,37,5,10,26,3,10
12,27,18,33,41,10,9
21,5,29,35,23,7,9
5,29,9,2,32,2,4
15,41,9,44,27,4,2
47,23,21,17,8,6,2
43,36,42,7,16,6,8
42,17,21,35,3,9,8
16,50,8,44,6,10,1
8,9,30,34,48,5,8
2,5,23,13,15,8,6
17,7,37,39,21,5,3
21,6,12,34,20,5,4
4,44,46,30,43,3,1
13,25,6,49,31,2,7
44,38,11,23,37,4,8
33,38,15,43,34,3,7
25,8,6,21,2,6,9
46,20,28,32,38,6,8
33,34,37,20,39,8,4
38,49,22,12,35,10,5
20,27,17,14,32,7,3
42,14,18,2,23,10,5
5,9,20,44,48,4,10
42,22,19,20,25,6,4
34,8,36,31,45,10,8
46,31,39,4,43,4,1
21,16,29,19,36,7,1
5,43,14,44,39,6,1
13,48,42,33,50,3,9
14,9,39,37,24,4,9
31,8,14,15,20,9,8
25,10,5,31,4,4,6
30,4,22,47,17,1,8
44,49,14,46,11,10,7
23,8,20,50,48,8,9
49,26,13,50,17,7,1
15,37,43,35,26,8,3
39,2,33,15,12,9,4
42,50,29,15,1,6,3
27,7,19,3,29,7,10
43,27,34,40,23,5,7
6,3,11,14,49,5,1
31,28,12,20,19,6,9
32,18,23,29,11,3,7
1,43,36,3,4,2,3
41,44,7,38,50,8,1
19,37,3,34,11,8,9
26,11,34,6,18,8,5
23,40,9,42,34,1,4
32,24,3,29,13,1,7
35,27,36,38,41,7,5
27,18,24,44,15,7,2
33,46,3,16,2,10,2
30,16,36,43,33,4,8
40,41,38,48,46,6,2
19,46,10,32,36,6,4
22,25,50,8,38,9,8
36,43,17,38,46,6,4
7,26,42,10,19,9,1
4,17,28,50,27,5,8
49,13,15,4,41,9,1
40,41,27,1,37,7,10
25,22,2,30,1,10,5
50,20,34,49,18,7,8
38,37,5,17,21,4,1
12,5,50,47,26,3,2
39,33,19,11,24,1,4
23,17,21,37,45,9,7
11,35,50,44,5,4,10
23,17,29,11,1,8,1
39,49,15,34,19,7,2
1,7,9,46,29,9,10
40,7,14,12,42,7,8
5,2,45,43,24,10,4
5,23,49,38,28,3,9
22,41,8,38,11,4,7
26,27,49,30,46,2,1
35,9,48,27,20,9,5
28,24,15,9,4,2,6
3,19,43,28,49,3,2
7,11,43,19,32,2,8
13,21,25,35,34,5,10
5,9,6,29,15,4,9
12,36,48,34,47,7,5
47,34,14,32,16,7,9
38,47,33,2,22,9,2
7,22,30,48,16,8,2
29,39,9,16,17,1,8
22,31,36,8,32,6,10
15,40,32,45,12,7,10
34,49,29,21,27,8,10
11,15,36,9,43,9,8
21,11,41,6,12,2,1
35,13,34,6,15,5,1
33,41,1,18,23,6,2
43,50,2,8,7,3,2
3,41,26,40,21,8,10
41,13,34,23,19,3,8
30,37,28,14,9,10,3
17,1,39,29,42,7,8
35,36,41,19,15,5,10
38,12,22,24,29,5,6
